NTHREADS	ARRAY_SIZE	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9
256	100000	0.026	0.022	0.020	0.020	0.021	0.020	0.020	0.022	0.023	0.021
256	1000000	0.050	0.047	0.045	0.045	0.045	0.052	0.046	0.044	0.044	0.047
256	10000000	0.289	0.287	0.283	0.286	0.287	0.292	0.286	0.287	0.293	0.284
256	100000000	2.780	2.795	2.798	2.789	2.799	2.792	2.810	2.787	2.806	2.782
128	100000	0.015	0.013	0.014	0.012	0.014	0.014	0.013	0.014	0.013	0.016
128	1000000	0.042	0.039	0.040	0.041	0.042	0.041	0.038	0.041	0.041	0.040
128	10000000	0.285	0.283	0.276	0.280	0.282	0.284	0.277	0.277	0.277	0.277
128	100000000	2.859	2.847	2.829	2.829	2.842	2.857	2.863	2.852	2.840	2.842
64	100000	0.012	0.009	0.009	0.010	0.010	0.009	0.011	0.009	0.010	0.009
64	1000000	0.037	0.036	0.035	0.035	0.036	0.034	0.036	0.034	0.034	0.036
64	10000000	0.280	0.280	0.275	0.277	0.281	0.289	0.278	0.277	0.279	0.284
64	100000000	2.989	2.950	2.988	2.971	2.977	2.944	2.956	2.935	2.936	2.953
32	100000	0.011	0.008	0.008	0.007	0.008	0.008	0.009	0.008	0.007	0.007
32	1000000	0.036	0.035	0.034	0.034	0.034	0.034	0.035	0.036	0.034	0.035
32	10000000	0.281	0.272	0.280	0.275	0.273	0.274	0.275	0.274	0.275	0.274
32	100000000	3.348	3.333	3.384	3.394	3.385	3.444	3.408	3.373	3.391	3.362
16	100000	0.009	0.008	0.007	0.006	0.006	0.006	0.006	0.006	0.007	0.006
16	1000000	0.035	0.032	0.032	0.033	0.032	0.032	0.034	0.033	0.033	0.034
16	10000000	0.291	0.287	0.286	0.288	0.286	0.283	0.288	0.287	0.284	0.286
16	100000000	4.734	4.678	4.718	4.576	4.631	4.611	4.558	4.371	4.517	4.575
8	100000	0.009	0.007	0.006	0.006	0.007	0.007	0.006	0.006	0.006	0.006
8	1000000	0.038	0.036	0.035	0.035	0.035	0.035	0.036	0.035	0.036	0.035
8	10000000	0.357	0.353	0.353	0.352	0.353	0.354	0.352	0.354	0.355	0.356
8	100000000	8.293	8.284	8.299	8.299	8.270	8.300	8.278	8.288	8.306	8.302
4	100000	0.009	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007
4	1000000	0.048	0.046	0.046	0.046	0.046	0.045	0.045	0.046	0.045	0.046
4	10000000	0.602	0.598	0.600	0.602	0.596	0.598	0.596	0.596	0.596	0.598
4	100000000	24.567	24.576	24.575	24.552	24.562	24.564	24.624	24.540	24.526	24.593
2	100000	0.011	0.008	0.009	0.009	0.009	0.009	0.008	0.009	0.009	0.008
2	1000000	0.074	0.071	0.073	0.071	0.071	0.071	0.071	0.071	0.071	0.071
2	10000000	1.416	1.415	1.413	1.415	1.418	1.411	1.412	1.413	1.415	1.416
2	100000000	27.843	27.942	27.868	27.860	27.919	27.904	27.873	27.844	27.913	27.920
1	100000	0.013	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012
1	1000000	0.136	0.133	0.135	0.133	0.135	0.134	0.136	0.136	0.136	0.134
1	10000000	4.255	4.264	4.276	4.278	4.254	4.250	4.256	4.260	4.262	4.277
1	100000000	37.674	37.647	37.741	37.786	37.652	37.847	37.729	37.709	37.803	37.831
